Deck,Count,Share,Score,Win_Percentage,Deck_links
Blastoise ex Articuno,4,0.03%,11 - 8 - 0,57.89%,/decks/blastoise-ex-articuno-a1?game=POCKET&format=standard&set=A2b
Aerodactyl ex Lucario,4,0.03%,8 - 6 - 0,57.14%,/decks/aerodactyl-ex-a1a-lucario-a2?game=POCKET&format=standard&set=A2b
Wugtrio ex Mew ex,4,0.03%,13 - 10 - 1,54.17%,/decks/wugtrio-ex-a2b-mew-ex-a1a?game=POCKET&format=standard&set=A2b
Exeggutor ex Yanmega ex,4,0.03%,14 - 12 - 0,53.85%,/decks/exeggutor-ex-a1-yanmega-ex-a2?game=POCKET&format=standard&set=A2b
Gyarados ex Chatot,4,0.03%,7 - 7 - 0,50.00%,/decks/gyarados-ex-chatot-a1a?game=POCKET&format=standard&set=A2b
Meowscarada Leafeon,4,0.03%,8 - 8 - 0,50.00%,/decks/meowscarada-a2b-leafeon-a2?game=POCKET&format=standard&set=A2b
Pikachu ex Pachirisu ex,4,0.03%,12 - 12 - 0,50.00%,/decks/pikachu-ex-a1-pachirisu-ex-a2?game=POCKET&format=standard&set=A2b
Glaceon ex Palkia ex,4,0.03%,11 - 12 - 0,47.83%,/decks/glaceon-ex-a2a-palkia-ex-a2?game=POCKET&format=standard&set=A2b
Rampardos Giratina ex,4,0.03%,11 - 11 - 1,47.83%,/decks/rampardos-a2-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Arceus ex Manaphy,4,0.03%,10 - 11 - 1,45.45%,/decks/arceus-ex-a2a-manaphy-a2?game=POCKET&format=standard&set=A2b
Rampardos Kabutops,4,0.03%,10 - 10 - 2,45.45%,/decks/rampardos-a2-kabutops-a1?game=POCKET&format=standard&set=A2b
Beedrill ex Beedrill,4,0.03%,8 - 10 - 0,44.44%,/decks/beedrill-ex-a2b-beedrill-a1?game=POCKET&format=standard&set=A2b
Wugtrio ex Arceus ex,4,0.03%,6 - 8 - 0,42.86%,/decks/wugtrio-ex-a2b-arceus-ex-a2a?game=POCKET&format=standard&set=A2b
Charizard ex Druddigon,4,0.03%,8 - 11 - 0,42.11%,/decks/charizard-ex-a2b-druddigon-a1a?game=POCKET&format=standard&set=A2b
Zapdos ex Magnezone,4,0.03%,5 - 7 - 0,41.67%,/decks/zapdos-ex-a1-magnezone-a2?game=POCKET&format=standard&set=A2b
Primeape Rampardos,4,0.03%,6 - 9 - 0,40.00%,/decks/primeape-a1-rampardos-a2?game=POCKET&format=standard&set=A2b
Blastoise ex Chatot,4,0.03%,4 - 6 - 0,40.00%,/decks/blastoise-ex-a1-chatot-a1a?game=POCKET&format=standard&set=A2b
Blastoise ex,4,0.03%,7 - 11 - 0,38.89%,/decks/blastoise-ex-a1?game=POCKET&format=standard&set=A2b
Beedrill ex Vespiquen,4,0.03%,8 - 13 - 0,38.10%,/decks/beedrill-ex-a2b-vespiquen-a2?game=POCKET&format=standard&set=A2b
Arceus ex Mew ex,4,0.03%,6 - 10 - 0,37.50%,/decks/arceus-ex-a2a-mew-ex-a1a?game=POCKET&format=standard&set=A2b
Garchomp Druddigon,4,0.03%,6 - 11 - 0,35.29%,/decks/garchomp-a2-druddigon-a1a?game=POCKET&format=standard&set=A2b
Giratina ex Wigglytuff,4,0.03%,6 - 11 - 0,35.29%,/decks/giratina-ex-wigglytuff-a2b?game=POCKET&format=standard&set=A2b
Starmie ex Floatzel,4,0.03%,6 - 12 - 0,33.33%,/decks/starmie-ex-a1-floatzel-p-a?game=POCKET&format=standard&set=A2b
Wugtrio ex Vaporeon,4,0.03%,3 - 7 - 0,30.00%,/decks/wugtrio-ex-a2b-vaporeon-a1a?game=POCKET&format=standard&set=A2b
Wormadam Skarmory,4,0.03%,3 - 7 - 0,30.00%,/decks/wormadam-skarmory-a2?game=POCKET&format=standard&set=A2b
Dragonite Magnezone,4,0.03%,3 - 7 - 0,30.00%,/decks/dragonite-a1-magnezone-a2?game=POCKET&format=standard&set=A2b
Pikachu ex Luxray,4,0.03%,3 - 9 - 0,25.00%,/decks/pikachu-ex-a2b-luxray-a2?game=POCKET&format=standard&set=A2b
Greninja Floatzel,4,0.03%,3 - 9 - 0,25.00%,/decks/greninja-a1-floatzel-p-a?game=POCKET&format=standard&set=A2b
Infernape ex Rapidash,4,0.03%,4 - 11 - 1,25.00%,/decks/infernape-ex-a2-rapidash-a1a?game=POCKET&format=standard&set=A2b
Beedrill ex Roserade,4,0.03%,4 - 12 - 0,25.00%,/decks/beedrill-ex-a2b-roserade-a2?game=POCKET&format=standard&set=A2b
Giratina ex Exeggutor,4,0.03%,2 - 7 - 0,22.22%,/decks/giratina-ex-a2b-exeggutor-a1a?game=POCKET&format=standard&set=A2b
Darkrai ex Paldean Clodsire ex,4,0.03%,2 - 8 - 0,20.00%,/decks/darkrai-ex-a2-paldean-clodsire-ex-a2b?game=POCKET&format=standard&set=A2b
Tinkaton ex,4,0.03%,2 - 12 - 0,14.29%,/decks/tinkaton-ex-a2b?game=POCKET&format=standard&set=A2b
Giratina ex Alakazam,4,0.03%,2 - 14 - 0,12.50%,/decks/giratina-ex-alakazam-a2b?game=POCKET&format=standard&set=A2b
Darkrai ex Mew ex,4,0.03%,0 - 7 - 0,0.00%,/decks/darkrai-ex-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2b
Starmie ex Articuno ex,4,0.03%,0 - 5 - 0,0.00%,/decks/starmie-ex-articuno-ex-a1?game=POCKET&format=standard&set=A2b
Blastoise ex Origin Forme Palkia,3,0.02%,13 - 7 - 0,65.00%,/decks/blastoise-ex-a1-origin-forme-palkia-a2a?game=POCKET&format=standard&set=A2b
Magnezone Arbok,3,0.02%,14 - 7 - 1,63.64%,/decks/magnezone-a2-arbok-a1?game=POCKET&format=standard&set=A2b
Arceus ex Abomasnow,3,0.02%,11 - 7 - 0,61.11%,/decks/arceus-ex-abomasnow-a2a?game=POCKET&format=standard&set=A2b
Gallade ex Primeape,3,0.02%,9 - 7 - 0,56.25%,/decks/gallade-ex-a2-primeape-a1?game=POCKET&format=standard&set=A2b
Greninja Origin Forme Palkia,3,0.02%,5 - 4 - 0,55.56%,/decks/greninja-a1-origin-forme-palkia-a2a?game=POCKET&format=standard&set=A2b
Meowscarada Leafeon ex,3,0.02%,8 - 7 - 0,53.33%,/decks/meowscarada-a2b-leafeon-ex-a2a?game=POCKET&format=standard&set=A2b
Electivire Pikachu ex,3,0.02%,9 - 8 - 0,52.94%,/decks/electivire-a2-pikachu-ex-a2b?game=POCKET&format=standard&set=A2b
Gholdengo Skarmory,3,0.02%,9 - 8 - 0,52.94%,/decks/gholdengo-a2b-skarmory-a2?game=POCKET&format=standard&set=A2b
Dialga ex Lickilicky ex,3,0.02%,5 - 5 - 0,50.00%,/decks/dialga-ex-lickilicky-ex-a2?game=POCKET&format=standard&set=A2b
Gyarados ex Glaceon ex,3,0.02%,5 - 5 - 0,50.00%,/decks/gyarados-ex-a1a-glaceon-ex-a2a?game=POCKET&format=standard&set=A2b
Alakazam Mew ex,3,0.02%,8 - 8 - 0,50.00%,/decks/alakazam-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2b
Infernape ex Giratina ex,3,0.02%,3 - 3 - 0,50.00%,/decks/infernape-ex-a2-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Uxie Mesprit,3,0.02%,9 - 9 - 0,50.00%,/decks/uxie-mesprit-a2?game=POCKET&format=standard&set=A2b
Melmetal Shaymin,3,0.02%,8 - 8 - 0,50.00%,/decks/melmetal-a1-shaymin-a2a?game=POCKET&format=standard&set=A2b
Charizard ex Wigglytuff,3,0.02%,8 - 8 - 1,47.06%,/decks/charizard-ex-wigglytuff-a2b?game=POCKET&format=standard&set=A2b
Palkia ex Mew ex,3,0.02%,7 - 8 - 0,46.67%,/decks/palkia-ex-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2b
Gallade ex Lucario ex,3,0.02%,6 - 7 - 0,46.15%,/decks/gallade-ex-a2-lucario-ex-a2b?game=POCKET&format=standard&set=A2b
Crobat Arceus ex,3,0.02%,6 - 7 - 0,46.15%,/decks/crobat-arceus-ex-a2a?game=POCKET&format=standard&set=A2b
Ninetales Rapidash,3,0.02%,5 - 6 - 0,45.45%,/decks/ninetales-rapidash-a1?game=POCKET&format=standard&set=A2b
Exeggutor ex Mew ex,3,0.02%,5 - 6 - 0,45.45%,/decks/exeggutor-ex-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2b
Glaceon ex Giratina ex,3,0.02%,8 - 9 - 1,44.44%,/decks/glaceon-ex-a2a-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Primeape Lucario,3,0.02%,3 - 4 - 0,42.86%,/decks/primeape-a1a-lucario-a2?game=POCKET&format=standard&set=A2b
Dragonite Regirock,3,0.02%,5 - 7 - 0,41.67%,/decks/dragonite-a1-regirock-a2?game=POCKET&format=standard&set=A2b
Zapdos ex Pikachu ex,3,0.02%,6 - 9 - 0,40.00%,/decks/zapdos-ex-pikachu-ex-a1?game=POCKET&format=standard&set=A2b
Vaporeon Articuno ex,3,0.02%,4 - 6 - 0,40.00%,/decks/vaporeon-a1a-articuno-ex-a1?game=POCKET&format=standard&set=A2b
Tyranitar Giratina ex,3,0.02%,2 - 3 - 0,40.00%,/decks/tyranitar-a2a-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Leafeon ex Venusaur ex,3,0.02%,3 - 5 - 0,37.50%,/decks/leafeon-ex-a2a-venusaur-ex-a1?game=POCKET&format=standard&set=A2b
Marowak ex Aerodactyl ex,3,0.02%,3 - 5 - 0,37.50%,/decks/marowak-ex-a1-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A2b
Palkia ex Poliwrath,3,0.02%,3 - 5 - 0,37.50%,/decks/palkia-ex-a2-poliwrath-a1?game=POCKET&format=standard&set=A2b
Giratina ex Dondozo,3,0.02%,4 - 7 - 0,36.36%,/decks/giratina-ex-dondozo-a2b?game=POCKET&format=standard&set=A2b
Machamp ex,3,0.02%,4 - 7 - 0,36.36%,/decks/machamp-ex-a1?game=POCKET&format=standard&set=A2b
Meowscarada Carnivine,3,0.02%,4 - 7 - 0,36.36%,/decks/meowscarada-a2b-carnivine-a2a?game=POCKET&format=standard&set=A2b
Arceus ex Exeggutor ex,3,0.02%,2 - 4 - 0,33.33%,/decks/arceus-ex-a2a-exeggutor-ex-a1?game=POCKET&format=standard&set=A2b
Venusaur ex Leafeon ex,3,0.02%,5 - 10 - 0,33.33%,/decks/venusaur-ex-a1-leafeon-ex-a2a?game=POCKET&format=standard&set=A2b
Gholdengo Giratina ex,3,0.02%,3 - 6 - 0,33.33%,/decks/gholdengo-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Gengar ex Mew ex,3,0.02%,5 - 10 - 0,33.33%,/decks/gengar-ex-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2b
Yanmega ex Leafeon ex,3,0.02%,2 - 4 - 0,33.33%,/decks/yanmega-ex-a2-leafeon-ex-a2a?game=POCKET&format=standard&set=A2b
Raichu Pikachu ex,3,0.02%,2 - 4 - 0,33.33%,/decks/raichu-a1a-pikachu-ex-a1?game=POCKET&format=standard&set=A2b
Meowscarada Victreebel,3,0.02%,4 - 9 - 0,30.77%,/decks/meowscarada-a2b-victreebel-a1?game=POCKET&format=standard&set=A2b
Togekiss Giratina,3,0.02%,2 - 5 - 0,28.57%,/decks/togekiss-giratina-a2?game=POCKET&format=standard&set=A2b
Mismagius ex Gengar ex,3,0.02%,2 - 5 - 0,28.57%,/decks/mismagius-ex-a2-gengar-ex-a1?game=POCKET&format=standard&set=A2b
Garchomp ex Garchomp,3,0.02%,3 - 9 - 0,25.00%,/decks/garchomp-ex-a2a-garchomp-a2?game=POCKET&format=standard&set=A2b
Arceus ex Pidgeot,3,0.02%,2 - 6 - 1,22.22%,/decks/arceus-ex-a2a-pidgeot-a1?game=POCKET&format=standard&set=A2b
Giratina ex Togekiss,3,0.02%,3 - 11 - 0,21.43%,/decks/giratina-ex-a2b-togekiss-a2?game=POCKET&format=standard&set=A2b
Magnezone Darkrai ex,3,0.02%,2 - 8 - 0,20.00%,/decks/magnezone-darkrai-ex-a2?game=POCKET&format=standard&set=A2b
Pikachu ex Zebstrika,3,0.02%,1 - 5 - 0,16.67%,/decks/pikachu-ex-zebstrika-a1?game=POCKET&format=standard&set=A2b
Wigglytuff ex Bibarel ex,3,0.02%,1 - 6 - 0,14.29%,/decks/wigglytuff-ex-a1-bibarel-ex-a2b?game=POCKET&format=standard&set=A2b
Gengar ex Gengar,3,0.02%,1 - 6 - 0,14.29%,/decks/gengar-ex-a1-gengar-a2a?game=POCKET&format=standard&set=A2b
Bisharp Skarmory,3,0.02%,1 - 8 - 0,11.11%,/decks/bisharp-a1-skarmory-a2?game=POCKET&format=standard&set=A2b
Mewtwo ex Wigglytuff,3,0.02%,1 - 9 - 0,10.00%,/decks/mewtwo-ex-a1-wigglytuff-a2b?game=POCKET&format=standard&set=A2b
Dialga ex Probopass ex,3,0.02%,1 - 10 - 0,9.09%,/decks/dialga-ex-a2-probopass-ex-a2a?game=POCKET&format=standard&set=A2b
Blastoise ex Vaporeon,3,0.02%,1 - 11 - 0,8.33%,/decks/blastoise-ex-a1-vaporeon-a1a?game=POCKET&format=standard&set=A2b
Blastoise ex Druddigon,2,0.02%,3 - 0 - 0,100.00%,/decks/blastoise-ex-a1-druddigon-a1a?game=POCKET&format=standard&set=A2b
Bastiodon Kangaskhan,2,0.02%,10 - 5 - 0,66.67%,/decks/bastiodon-a2-kangaskhan-a1?game=POCKET&format=standard&set=A2b
Gyarados ex Chatot,2,0.02%,4 - 2 - 0,66.67%,/decks/gyarados-ex-a1a-chatot-a2?game=POCKET&format=standard&set=A2b
Glaceon ex Floatzel,2,0.02%,6 - 4 - 0,60.00%,/decks/glaceon-ex-a2a-floatzel-p-a?game=POCKET&format=standard&set=A2b
Starmie ex Gyarados ex,2,0.02%,3 - 2 - 0,60.00%,/decks/starmie-ex-a1-gyarados-ex-a1a?game=POCKET&format=standard&set=A2b
Lucario Hitmonlee,2,0.02%,7 - 5 - 0,58.33%,/decks/lucario-a2-hitmonlee-a2b?game=POCKET&format=standard&set=A2b
Pidgeot ex Dialga ex,2,0.02%,4 - 3 - 0,57.14%,/decks/pidgeot-ex-a1a-dialga-ex-a2?game=POCKET&format=standard&set=A2b
Meowscarada Scyther,2,0.02%,4 - 3 - 0,57.14%,/decks/meowscarada-a2b-scyther-a1?game=POCKET&format=standard&set=A2b
Poliwrath Palkia ex,2,0.02%,6 - 5 - 0,54.55%,/decks/poliwrath-a1-palkia-ex-a2?game=POCKET&format=standard&set=A2b
Charizard ex Dusknoir,2,0.02%,6 - 5 - 0,54.55%,/decks/charizard-ex-a2b-dusknoir-a2?game=POCKET&format=standard&set=A2b
Pikachu ex Magnezone,2,0.02%,6 - 4 - 1,54.55%,/decks/pikachu-ex-a1-magnezone-a2?game=POCKET&format=standard&set=A2b
Zapdos ex Pachirisu ex,2,0.02%,7 - 6 - 0,53.85%,/decks/zapdos-ex-a1-pachirisu-ex-a2?game=POCKET&format=standard&set=A2b
Alakazam Sigilyph,2,0.02%,7 - 6 - 0,53.85%,/decks/alakazam-a1-sigilyph-a1a?game=POCKET&format=standard&set=A2b
Lucario Hitmonchan,2,0.02%,7 - 6 - 0,53.85%,/decks/lucario-a2-hitmonchan-a1?game=POCKET&format=standard&set=A2b
Giratina ex Dusknoir,2,0.02%,5 - 5 - 0,50.00%,/decks/giratina-ex-a2b-dusknoir-a2?game=POCKET&format=standard&set=A2b
Pidgeot ex,2,0.02%,2 - 2 - 0,50.00%,/decks/pidgeot-ex-a1a?game=POCKET&format=standard&set=A2b
Garchomp Meowth,2,0.02%,6 - 6 - 0,50.00%,/decks/garchomp-a2-meowth-a1?game=POCKET&format=standard&set=A2b
Infernape ex Farfetch'd,2,0.02%,7 - 7 - 0,50.00%,/decks/infernape-ex-a2-farfetchd-a1?game=POCKET&format=standard&set=A2b
Staraptor Cyclizar,2,0.02%,4 - 2 - 2,50.00%,/decks/staraptor-a2a-cyclizar-a2b?game=POCKET&format=standard&set=A2b
Blastoise ex Blastoise,2,0.02%,3 - 3 - 0,50.00%,/decks/blastoise-ex-blastoise-a1?game=POCKET&format=standard&set=A2b
Mismagius ex Mew ex,2,0.02%,5 - 5 - 0,50.00%,/decks/mismagius-ex-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2b
Palkia ex Wigglytuff,2,0.02%,7 - 7 - 0,50.00%,/decks/palkia-ex-a2-wigglytuff-a2b?game=POCKET&format=standard&set=A2b
Gallade ex Snorlax,2,0.02%,2 - 2 - 0,50.00%,/decks/gallade-ex-a2-snorlax-a2a?game=POCKET&format=standard&set=A2b
Blastoise ex Palkia ex,2,0.02%,4 - 4 - 0,50.00%,/decks/blastoise-ex-a1-palkia-ex-a2?game=POCKET&format=standard&set=A2b
Arbok Weezing,2,0.02%,6 - 7 - 0,46.15%,/decks/arbok-weezing-a1?game=POCKET&format=standard&set=A2b
Palkia ex Starmie ex,2,0.02%,5 - 6 - 0,45.45%,/decks/palkia-ex-a2-starmie-ex-a1?game=POCKET&format=standard&set=A2b
Magnezone Greninja,2,0.02%,5 - 6 - 0,45.45%,/decks/magnezone-a2-greninja-a1?game=POCKET&format=standard&set=A2b
Aerodactyl ex Arceus ex,2,0.02%,5 - 6 - 0,45.45%,/decks/aerodactyl-ex-a1a-arceus-ex-a2a?game=POCKET&format=standard&set=A2b
Infernape ex Dodrio,2,0.02%,5 - 6 - 0,45.45%,/decks/infernape-ex-a2-dodrio-a1?game=POCKET&format=standard&set=A2b
Exeggutor ex Victreebel,2,0.02%,5 - 6 - 0,45.45%,/decks/exeggutor-ex-victreebel-a1?game=POCKET&format=standard&set=A2b
Starmie ex,2,0.02%,4 - 5 - 0,44.44%,/decks/starmie-ex-a1?game=POCKET&format=standard&set=A2b
Beedrill ex Arceus ex,2,0.02%,4 - 5 - 0,44.44%,/decks/beedrill-ex-a2b-arceus-ex-a2a?game=POCKET&format=standard&set=A2b
Gallade ex Giratina ex,2,0.02%,4 - 5 - 0,44.44%,/decks/gallade-ex-a2-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Togekiss Mew ex,2,0.02%,3 - 4 - 0,42.86%,/decks/togekiss-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2b
Leafeon ex Mew ex,2,0.02%,3 - 4 - 0,42.86%,/decks/leafeon-ex-a2a-mew-ex-a1a?game=POCKET&format=standard&set=A2b
Pikachu ex Zapdos ex,2,0.02%,3 - 4 - 0,42.86%,/decks/pikachu-ex-zapdos-ex-a1?game=POCKET&format=standard&set=A2b
Venusaur ex Exeggutor ex,2,0.02%,3 - 4 - 0,42.86%,/decks/venusaur-ex-exeggutor-ex-a1?game=POCKET&format=standard&set=A2b
Meowscarada Mow Rotom,2,0.02%,3 - 4 - 0,42.86%,/decks/meowscarada-a2b-mow-rotom-a2?game=POCKET&format=standard&set=A2b
Infernape ex Heatran,2,0.02%,3 - 4 - 0,42.86%,/decks/infernape-ex-a2-heatran-a2a?game=POCKET&format=standard&set=A2b
Ninetales Rapidash,2,0.02%,5 - 6 - 1,41.67%,/decks/ninetales-a1-rapidash-a1a?game=POCKET&format=standard&set=A2b
Luxray Pachirisu,2,0.02%,4 - 6 - 0,40.00%,/decks/luxray-a2-pachirisu-a2b?game=POCKET&format=standard&set=A2b
Blastoise ex Dondozo,2,0.02%,4 - 6 - 0,40.00%,/decks/blastoise-ex-a1-dondozo-a2b?game=POCKET&format=standard&set=A2b
Giratina ex Rampardos,2,0.02%,4 - 6 - 0,40.00%,/decks/giratina-ex-a2b-rampardos-a2?game=POCKET&format=standard&set=A2b
Blastoise ex Articuno ex,2,0.02%,4 - 6 - 0,40.00%,/decks/blastoise-ex-articuno-ex-a1?game=POCKET&format=standard&set=A2b
Meowscarada Mew ex,2,0.02%,4 - 5 - 1,40.00%,/decks/meowscarada-a2b-mew-ex-a1a?game=POCKET&format=standard&set=A2b
Arceus ex Raichu,2,0.02%,4 - 6 - 0,40.00%,/decks/arceus-ex-raichu-a2a?game=POCKET&format=standard&set=A2b
Lickilicky ex Dialga ex,2,0.02%,3 - 5 - 0,37.50%,/decks/lickilicky-ex-dialga-ex-a2?game=POCKET&format=standard&set=A2b
Floatzel Tauros,2,0.02%,3 - 5 - 0,37.50%,/decks/floatzel-p-a-tauros-a1a?game=POCKET&format=standard&set=A2b
Gyarados ex Wugtrio ex,2,0.02%,3 - 5 - 0,37.50%,/decks/gyarados-ex-a1a-wugtrio-ex-a2b?game=POCKET&format=standard&set=A2b
Bibarel ex Dialga ex,2,0.02%,3 - 5 - 0,37.50%,/decks/bibarel-ex-a2b-dialga-ex-a2?game=POCKET&format=standard&set=A2b
Luxray Snorlax,2,0.02%,3 - 5 - 0,37.50%,/decks/luxray-a2-snorlax-a2a?game=POCKET&format=standard&set=A2b
Eevee,2,0.02%,3 - 5 - 0,37.50%,/decks/eevee-a1a?game=POCKET&format=standard&set=A2b
Lucario Hitmonlee,2,0.02%,3 - 5 - 0,37.50%,/decks/lucario-a2-hitmonlee-a1?game=POCKET&format=standard&set=A2b
Magnezone,2,0.02%,4 - 6 - 1,36.36%,/decks/magnezone-a2?game=POCKET&format=standard&set=A2b
Marowak ex Lucario,2,0.02%,2 - 4 - 0,33.33%,/decks/marowak-ex-a1-lucario-a2?game=POCKET&format=standard&set=A2b
Primeape Marshadow,2,0.02%,2 - 4 - 0,33.33%,/decks/primeape-a1-marshadow-a1a?game=POCKET&format=standard&set=A2b
Magnezone Gholdengo,2,0.02%,3 - 5 - 1,33.33%,/decks/magnezone-a2-gholdengo-a2b?game=POCKET&format=standard&set=A2b
Meowscarada Giratina,2,0.02%,2 - 4 - 0,33.33%,/decks/meowscarada-a2b-giratina-a2?game=POCKET&format=standard&set=A2b
Pidgeot ex Meowth,2,0.02%,1 - 2 - 0,33.33%,/decks/pidgeot-ex-a1a-meowth-a1?game=POCKET&format=standard&set=A2b
Alakazam Giratina ex,2,0.02%,2 - 4 - 0,33.33%,/decks/alakazam-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Glaceon ex Greninja,2,0.02%,2 - 4 - 0,33.33%,/decks/glaceon-ex-a2a-greninja-a1?game=POCKET&format=standard&set=A2b
Melmetal Dialga ex,2,0.02%,3 - 7 - 0,30.00%,/decks/melmetal-a1-dialga-ex-a2?game=POCKET&format=standard&set=A2b
Glaceon ex Articuno ex,2,0.02%,3 - 7 - 0,30.00%,/decks/glaceon-ex-a2a-articuno-ex-a1?game=POCKET&format=standard&set=A2b
Pawmot Electrode,2,0.02%,2 - 5 - 0,28.57%,/decks/pawmot-a2b-electrode-a2?game=POCKET&format=standard&set=A2b
Gyarados ex Vaporeon,2,0.02%,2 - 5 - 0,28.57%,/decks/gyarados-ex-vaporeon-a1a?game=POCKET&format=standard&set=A2b
Machamp ex Machamp,2,0.02%,2 - 5 - 0,28.57%,/decks/machamp-ex-a1-machamp-a2b?game=POCKET&format=standard&set=A2b
Pidgeot ex Starmie ex,2,0.02%,2 - 6 - 0,25.00%,/decks/pidgeot-ex-a1a-starmie-ex-a1?game=POCKET&format=standard&set=A2b
Pawmot Pachirisu ex,2,0.02%,2 - 6 - 0,25.00%,/decks/pawmot-a2b-pachirisu-ex-a2?game=POCKET&format=standard&set=A2b
Mismagius ex Mewtwo ex,2,0.02%,1 - 3 - 0,25.00%,/decks/mismagius-ex-a2-mewtwo-ex-a1?game=POCKET&format=standard&set=A2b
Primeape Lucario,2,0.02%,1 - 3 - 0,25.00%,/decks/primeape-a1-lucario-a2?game=POCKET&format=standard&set=A2b
Dialga ex Tinkaton ex,2,0.02%,2 - 6 - 0,25.00%,/decks/dialga-ex-a2-tinkaton-ex-a2b?game=POCKET&format=standard&set=A2b
Mismagius ex,2,0.02%,1 - 3 - 0,25.00%,/decks/mismagius-ex-a2?game=POCKET&format=standard&set=A2b
Infernape ex Houndoom,2,0.02%,1 - 3 - 0,25.00%,/decks/infernape-ex-a2-houndoom-a2a?game=POCKET&format=standard&set=A2b
Lucario Onix,2,0.02%,2 - 7 - 0,22.22%,/decks/lucario-a2-onix-a1?game=POCKET&format=standard&set=A2b
Palkia ex Gyarados ex,2,0.02%,2 - 7 - 0,22.22%,/decks/palkia-ex-a2-gyarados-ex-a1a?game=POCKET&format=standard&set=A2b
Gyarados ex Regice,2,0.02%,1 - 4 - 0,20.00%,/decks/gyarados-ex-a1a-regice-a2?game=POCKET&format=standard&set=A2b
Magnezone Raichu,2,0.02%,1 - 4 - 0,20.00%,/decks/magnezone-a2-raichu-a1?game=POCKET&format=standard&set=A2b
Pikachu ex Raichu,2,0.02%,1 - 4 - 0,20.00%,/decks/pikachu-ex-raichu-a1?game=POCKET&format=standard&set=A2b
Pachirisu ex Zapdos ex,2,0.02%,1 - 4 - 0,20.00%,/decks/pachirisu-ex-a2-zapdos-ex-a1?game=POCKET&format=standard&set=A2b
Arceus ex Dialga ex,2,0.02%,1 - 5 - 0,16.67%,/decks/arceus-ex-a2a-dialga-ex-a2?game=POCKET&format=standard&set=A2b
Pikachu ex,2,0.02%,1 - 5 - 0,16.67%,/decks/pikachu-ex-a1?game=POCKET&format=standard&set=A2b
Giratina ex Tyranitar,2,0.02%,1 - 5 - 0,16.67%,/decks/giratina-ex-a2b-tyranitar-a2a?game=POCKET&format=standard&set=A2b
Darkrai ex Arbok,2,0.02%,1 - 6 - 0,14.29%,/decks/darkrai-ex-a2-arbok-a2b?game=POCKET&format=standard&set=A2b
Infernape ex Cyclizar,2,0.02%,1 - 6 - 0,14.29%,/decks/infernape-ex-a2-cyclizar-a2b?game=POCKET&format=standard&set=A2b
Garchomp Chatot,2,0.02%,1 - 6 - 0,14.29%,/decks/garchomp-a2-chatot-a1a?game=POCKET&format=standard&set=A2b
Paldean Clodsire ex Arbok,2,0.02%,1 - 6 - 0,14.29%,/decks/paldean-clodsire-ex-a2b-arbok-a1?game=POCKET&format=standard&set=A2b
Machamp ex Lucario ex,2,0.02%,0 - 4 - 0,0.00%,/decks/machamp-ex-a1-lucario-ex-a2b?game=POCKET&format=standard&set=A2b
Arceus ex Palkia ex,2,0.02%,0 - 2 - 0,0.00%,/decks/arceus-ex-a2a-palkia-ex-a2?game=POCKET&format=standard&set=A2b
Paldean Clodsire ex Weavile ex,2,0.02%,0 - 1 - 0,0.00%,/decks/paldean-clodsire-ex-a2b-weavile-ex-a2?game=POCKET&format=standard&set=A2b
Glaceon ex Origin Forme Palkia,2,0.02%,0 - 7 - 0,0.00%,/decks/glaceon-ex-origin-forme-palkia-a2a?game=POCKET&format=standard&set=A2b
Golem Druddigon,2,0.02%,0 - 6 - 0,0.00%,/decks/golem-druddigon-a1a?game=POCKET&format=standard&set=A2b
Dugtrio Primeape,2,0.02%,0 - 5 - 0,0.00%,/decks/dugtrio-a1-primeape-a1a?game=POCKET&format=standard&set=A2b
Raichu Pikachu ex,2,0.02%,0 - 5 - 0,0.00%,/decks/raichu-pikachu-ex-a1?game=POCKET&format=standard&set=A2b
Marowak ex Celebi ex,2,0.02%,0 - 3 - 0,0.00%,/decks/marowak-ex-a1-celebi-ex-a1a?game=POCKET&format=standard&set=A2b
Beedrill ex Sprigatito,2,0.02%,0 - 3 - 0,0.00%,/decks/beedrill-ex-sprigatito-a2b?game=POCKET&format=standard&set=A2b
Giratina ex Grafaiai,2,0.02%,0 - 3 - 0,0.00%,/decks/giratina-ex-grafaiai-a2b?game=POCKET&format=standard&set=A2b
Meowscarada Spiritomb,2,0.02%,0 - 5 - 0,0.00%,/decks/meowscarada-a2b-spiritomb-a2?game=POCKET&format=standard&set=A2b
