Deck,Deck_links,Count,Share,Score,Win_Percentage
Mewtwo ex Pidgeot,/decks/mewtwo-ex-pidgeot-a1?game=POCKET&format=standard&set=A1,10,0.03%,11 - 21 - 1,33.33%
Blastoise ex Golduck,/decks/blastoise-ex-golduck-a1?game=POCKET&format=standard&set=A1,10,0.03%,14 - 31 - 0,31.11%
Pidgeot Ninetales,/decks/pidgeot-ninetales-a1?game=POCKET&format=standard&set=A1,10,0.03%,11 - 24 - 1,30.56%
Starmie ex Starmie,/decks/starmie-ex-starmie-a1?game=POCKET&format=standard&set=A1,9,0.02%,22 - 23 - 0,48.89%
Greninja Hypno,/decks/greninja-hypno-a1?game=POCKET&format=standard&set=A1,9,0.02%,21 - 28 - 0,42.86%
Greninja Omastar,/decks/greninja-omastar-a1?game=POCKET&format=standard&set=A1,9,0.02%,23 - 31 - 0,42.59%
Wigglytuff ex Dragonite,/decks/wigglytuff-ex-dragonite-a1?game=POCKET&format=standard&set=A1,9,0.02%,14 - 19 - 0,42.42%
Lapras ex Butterfree,/decks/lapras-ex-p-a-butterfree-a1?game=POCKET&format=standard&set=A1,9,0.02%,14 - 20 - 0,41.18%
Raichu Pikachu ex,/decks/raichu-pikachu-ex-a1?game=POCKET&format=standard&set=A1,9,0.02%,18 - 26 - 0,40.91%
Moltres ex Charizard,/decks/moltres-ex-charizard-a1?game=POCKET&format=standard&set=A1,9,0.02%,16 - 21 - 3,40.00%
Dragonite Vaporeon,/decks/dragonite-vaporeon-a1?game=POCKET&format=standard&set=A1,9,0.02%,12 - 21 - 0,36.36%
Exeggutor ex Venomoth,/decks/exeggutor-ex-venomoth-a1?game=POCKET&format=standard&set=A1,9,0.02%,13 - 23 - 0,36.11%
Greninja Frosmoth,/decks/greninja-frosmoth-a1?game=POCKET&format=standard&set=A1,9,0.02%,12 - 21 - 1,35.29%
Heliolisk Pikachu ex,/decks/heliolisk-pikachu-ex-a1?game=POCKET&format=standard&set=A1,9,0.02%,15 - 27 - 1,34.88%
Lapras ex Dragonite,/decks/lapras-ex-p-a-dragonite-a1?game=POCKET&format=standard&set=A1,9,0.02%,14 - 28 - 0,33.33%
Wigglytuff ex Omastar,/decks/wigglytuff-ex-omastar-a1?game=POCKET&format=standard&set=A1,9,0.02%,12 - 26 - 0,31.58%
Alakazam Farfetch'd,/decks/alakazam-farfetchd-a1?game=POCKET&format=standard&set=A1,9,0.02%,11 - 24 - 0,31.43%
Articuno ex Blastoise ex,/decks/articuno-ex-blastoise-ex-a1?game=POCKET&format=standard&set=A1,9,0.02%,5 - 22 - 0,18.52%
Dragonair Omanyte,/decks/dragonair-omanyte-a1?game=POCKET&format=standard&set=A1,8,0.02%,13 - 10 - 0,56.52%
Zapdos ex Heliolisk,/decks/zapdos-ex-heliolisk-a1?game=POCKET&format=standard&set=A1,8,0.02%,22 - 26 - 0,45.83%
Articuno ex Tentacruel,/decks/articuno-ex-tentacruel-a1?game=POCKET&format=standard&set=A1,8,0.02%,19 - 23 - 0,45.24%
Alakazam Mewtwo ex,/decks/alakazam-mewtwo-ex-a1?game=POCKET&format=standard&set=A1,8,0.02%,18 - 23 - 1,42.86%
Dragonite Aerodactyl,/decks/dragonite-aerodactyl-a1?game=POCKET&format=standard&set=A1,8,0.02%,16 - 24 - 1,39.02%
Wigglytuff ex Kangaskhan,/decks/wigglytuff-ex-kangaskhan-a1?game=POCKET&format=standard&set=A1,8,0.02%,13 - 19 - 2,38.24%
Butterfree Venusaur ex,/decks/butterfree-venusaur-ex-a1?game=POCKET&format=standard&set=A1,8,0.02%,11 - 17 - 2,36.67%
Alakazam Exeggutor ex,/decks/alakazam-exeggutor-ex-a1?game=POCKET&format=standard&set=A1,8,0.02%,12 - 19 - 2,36.36%
Moltres ex Rapidash,/decks/moltres-ex-rapidash-a1?game=POCKET&format=standard&set=A1,8,0.02%,9 - 15 - 1,36.00%
Dragonite Pidgeot,/decks/dragonite-pidgeot-a1?game=POCKET&format=standard&set=A1,8,0.02%,10 - 21 - 0,32.26%
Weezing Muk,/decks/weezing-muk-a1?game=POCKET&format=standard&set=A1,8,0.02%,9 - 20 - 2,29.03%
Gengar ex Meowth,/decks/gengar-ex-meowth-a1?game=POCKET&format=standard&set=A1,8,0.02%,8 - 22 - 0,26.67%
Dugtrio Primeape,/decks/dugtrio-primeape-a1?game=POCKET&format=standard&set=A1,8,0.02%,5 - 19 - 0,20.83%
Dragonair Meowth,/decks/dragonair-meowth-a1?game=POCKET&format=standard&set=A1,7,0.02%,21 - 11 - 0,65.63%
Ivysaur Gloom,/decks/ivysaur-gloom-a1?game=POCKET&format=standard&set=A1,7,0.02%,19 - 12 - 1,59.38%
Ivysaur Weepinbell,/decks/ivysaur-weepinbell-a1?game=POCKET&format=standard&set=A1,7,0.02%,14 - 11 - 0,56.00%
Victreebel Exeggutor ex,/decks/victreebel-exeggutor-ex-a1?game=POCKET&format=standard&set=A1,7,0.02%,15 - 13 - 0,53.57%
Golbat Mienshao,/decks/golbat-mienshao-a1?game=POCKET&format=standard&set=A1,7,0.02%,25 - 22 - 0,53.19%
Articuno ex Pidgeot,/decks/articuno-ex-pidgeot-a1?game=POCKET&format=standard&set=A1,7,0.02%,14 - 16 - 0,46.67%
Dragonair Eelektrik,/decks/dragonair-eelektrik-a1?game=POCKET&format=standard&set=A1,7,0.02%,11 - 13 - 0,45.83%
Arcanine ex Wigglytuff ex,/decks/arcanine-ex-wigglytuff-ex-a1?game=POCKET&format=standard&set=A1,7,0.02%,14 - 17 - 0,45.16%
Wigglytuff ex Wigglytuff,/decks/wigglytuff-ex-wigglytuff-a1?game=POCKET&format=standard&set=A1,7,0.02%,11 - 15 - 0,42.31%
Wigglytuff ex Ninetales,/decks/wigglytuff-ex-ninetales-a1?game=POCKET&format=standard&set=A1,7,0.02%,15 - 21 - 0,41.67%
Primeape Onix,/decks/primeape-onix-a1?game=POCKET&format=standard&set=A1,7,0.02%,14 - 20 - 0,41.18%
Nidoking Arbok,/decks/nidoking-arbok-a1?game=POCKET&format=standard&set=A1,7,0.02%,12 - 18 - 0,40.00%
Gengar ex,/decks/gengar-ex-a1?game=POCKET&format=standard&set=A1,7,0.02%,12 - 16 - 2,40.00%
Charizard ex Snorlax,/decks/charizard-ex-snorlax-a1?game=POCKET&format=standard&set=A1,7,0.02%,9 - 14 - 1,37.50%
Dragonite Meowth,/decks/dragonite-meowth-a1?game=POCKET&format=standard&set=A1,7,0.02%,9 - 16 - 0,36.00%
Machamp ex Wigglytuff ex,/decks/machamp-ex-wigglytuff-ex-a1?game=POCKET&format=standard&set=A1,7,0.02%,8 - 16 - 1,32.00%
Gengar ex Clefable,/decks/gengar-ex-clefable-a1?game=POCKET&format=standard&set=A1,7,0.02%,7 - 16 - 0,30.43%
Wigglytuff ex Hypno,/decks/wigglytuff-ex-hypno-a1?game=POCKET&format=standard&set=A1,7,0.02%,8 - 18 - 2,28.57%
Melmetal Butterfree,/decks/melmetal-butterfree-a1?game=POCKET&format=standard&set=A1,7,0.02%,5 - 14 - 0,26.32%
Rapidash Ninetales,/decks/rapidash-ninetales-a1?game=POCKET&format=standard&set=A1,7,0.02%,3 - 15 - 0,16.67%
Gengar ex Weezing,/decks/gengar-ex-weezing-a1?game=POCKET&format=standard&set=A1,7,0.02%,4 - 20 - 0,16.67%
Greninja Articuno,/decks/greninja-articuno-a1?game=POCKET&format=standard&set=A1,6,0.02%,20 - 12 - 0,62.50%
Articuno ex Golduck,/decks/articuno-ex-golduck-a1?game=POCKET&format=standard&set=A1,6,0.02%,16 - 12 - 0,57.14%
Dragonite Zapdos ex,/decks/dragonite-zapdos-ex-a1?game=POCKET&format=standard&set=A1,6,0.02%,17 - 13 - 0,56.67%
Lapras ex Seaking,/decks/lapras-ex-p-a-seaking-a1?game=POCKET&format=standard&set=A1,6,0.02%,15 - 13 - 0,53.57%
Venusaur ex,/decks/venusaur-ex-a1?game=POCKET&format=standard&set=A1,6,0.02%,15 - 14 - 0,51.72%
Ninetales,/decks/ninetales-a1?game=POCKET&format=standard&set=A1,6,0.02%,10 - 10 - 0,50.00%
Blastoise ex Hypno,/decks/blastoise-ex-hypno-a1?game=POCKET&format=standard&set=A1,6,0.02%,18 - 16 - 3,48.65%
Tentacruel Kingler,/decks/tentacruel-kingler-a1?game=POCKET&format=standard&set=A1,6,0.02%,14 - 15 - 0,48.28%
Blastoise ex Greninja,/decks/blastoise-ex-greninja-a1?game=POCKET&format=standard&set=A1,6,0.02%,11 - 12 - 0,47.83%
Starmie ex Gyarados,/decks/starmie-ex-gyarados-a1?game=POCKET&format=standard&set=A1,6,0.02%,13 - 15 - 1,44.83%
Gengar ex Jynx,/decks/gengar-ex-jynx-a1?game=POCKET&format=standard&set=A1,6,0.02%,12 - 16 - 0,42.86%
Greninja Farfetch'd,/decks/greninja-farfetchd-a1?game=POCKET&format=standard&set=A1,6,0.02%,9 - 13 - 0,40.91%
Exeggutor ex Beedrill,/decks/exeggutor-ex-beedrill-a1?game=POCKET&format=standard&set=A1,6,0.02%,11 - 16 - 0,40.74%
Dragonite Lapras ex,/decks/dragonite-a1-lapras-ex-p-a?game=POCKET&format=standard&set=A1,6,0.02%,12 - 18 - 0,40.00%
Zapdos ex Dragonite,/decks/zapdos-ex-dragonite-a1?game=POCKET&format=standard&set=A1,6,0.02%,12 - 17 - 1,40.00%
Starmie ex Butterfree,/decks/starmie-ex-butterfree-a1?game=POCKET&format=standard&set=A1,6,0.02%,11 - 17 - 1,37.93%
Gengar ex Psyduck,/decks/gengar-ex-psyduck-a1?game=POCKET&format=standard&set=A1,6,0.02%,9 - 15 - 0,37.50%
Tentacruel Frosmoth,/decks/tentacruel-frosmoth-a1?game=POCKET&format=standard&set=A1,6,0.02%,8 - 14 - 0,36.36%
Mewtwo ex Clefable,/decks/mewtwo-ex-clefable-a1?game=POCKET&format=standard&set=A1,6,0.02%,7 - 13 - 0,35.00%
Hypno Melmetal,/decks/hypno-melmetal-a1?game=POCKET&format=standard&set=A1,6,0.02%,10 - 19 - 0,34.48%
Mewtwo ex Greninja,/decks/mewtwo-ex-greninja-a1?game=POCKET&format=standard&set=A1,6,0.02%,11 - 21 - 0,34.38%
Pidgeot Bisharp,/decks/pidgeot-bisharp-a1?game=POCKET&format=standard&set=A1,6,0.02%,7 - 14 - 0,33.33%
Wigglytuff ex Kingler,/decks/wigglytuff-ex-kingler-a1?game=POCKET&format=standard&set=A1,6,0.02%,8 - 15 - 1,33.33%
Dragonite Starmie ex,/decks/dragonite-starmie-ex-a1?game=POCKET&format=standard&set=A1,6,0.02%,7 - 16 - 0,30.43%
Venusaur ex Kangaskhan,/decks/venusaur-ex-kangaskhan-a1?game=POCKET&format=standard&set=A1,6,0.02%,6 - 15 - 0,28.57%
Golduck Kingler,/decks/golduck-kingler-a1?game=POCKET&format=standard&set=A1,6,0.02%,4 - 10 - 0,28.57%
Dragonite Farfetch'd,/decks/dragonite-farfetchd-a1?game=POCKET&format=standard&set=A1,6,0.02%,5 - 13 - 0,27.78%
Weezing Kabutops,/decks/weezing-kabutops-a1?game=POCKET&format=standard&set=A1,6,0.02%,6 - 18 - 1,24.00%
Ninetales Golbat,/decks/ninetales-golbat-a1?game=POCKET&format=standard&set=A1,6,0.02%,5 - 16 - 0,23.81%
Alakazam Mewtwo,/decks/alakazam-mewtwo-a1?game=POCKET&format=standard&set=A1,6,0.02%,5 - 17 - 1,21.74%
Golem Onix,/decks/golem-onix-a1?game=POCKET&format=standard&set=A1,6,0.02%,3 - 13 - 0,18.75%
Wigglytuff ex Articuno ex,/decks/wigglytuff-ex-articuno-ex-a1?game=POCKET&format=standard&set=A1,5,0.01%,23 - 11 - 1,65.71%
Golduck Tentacruel,/decks/golduck-tentacruel-a1?game=POCKET&format=standard&set=A1,5,0.01%,14 - 8 - 0,63.64%
Machamp ex Marowak,/decks/machamp-ex-marowak-a1?game=POCKET&format=standard&set=A1,5,0.01%,12 - 9 - 0,57.14%
Lapras ex Golduck,/decks/lapras-ex-p-a-golduck-a1?game=POCKET&format=standard&set=A1,5,0.01%,12 - 8 - 1,57.14%
Poliwhirl Dragonair,/decks/poliwhirl-dragonair-a1?game=POCKET&format=standard&set=A1,5,0.01%,12 - 9 - 0,57.14%
Greninja Lapras,/decks/greninja-lapras-a1?game=POCKET&format=standard&set=A1,5,0.01%,14 - 11 - 0,56.00%
Dragonair Frogadier,/decks/dragonair-frogadier-a1?game=POCKET&format=standard&set=A1,5,0.01%,11 - 9 - 0,55.00%
Zapdos ex,/decks/zapdos-ex-a1?game=POCKET&format=standard&set=A1,5,0.01%,16 - 15 - 0,51.61%
Gengar ex Greninja,/decks/gengar-ex-greninja-a1?game=POCKET&format=standard&set=A1,5,0.01%,17 - 16 - 0,51.52%
Starmie ex Mienshao,/decks/starmie-ex-mienshao-a1?game=POCKET&format=standard&set=A1,5,0.01%,11 - 11 - 0,50.00%
Greninja Exeggutor ex,/decks/greninja-exeggutor-ex-a1?game=POCKET&format=standard&set=A1,5,0.01%,13 - 13 - 0,50.00%
Moltres ex Greninja,/decks/moltres-ex-greninja-a1?game=POCKET&format=standard&set=A1,5,0.01%,16 - 17 - 0,48.48%
Vileplume Exeggutor,/decks/vileplume-exeggutor-a1?game=POCKET&format=standard&set=A1,5,0.01%,13 - 13 - 1,48.15%
Starmie ex Pidgeot,/decks/starmie-ex-pidgeot-a1?game=POCKET&format=standard&set=A1,5,0.01%,11 - 12 - 0,47.83%
Exeggutor ex Pinsir,/decks/exeggutor-ex-pinsir-a1?game=POCKET&format=standard&set=A1,5,0.01%,9 - 10 - 0,47.37%
Alakazam Dugtrio,/decks/alakazam-dugtrio-a1?game=POCKET&format=standard&set=A1,5,0.01%,9 - 13 - 0,40.91%
Venusaur Lilligant,/decks/venusaur-lilligant-a1?game=POCKET&format=standard&set=A1,5,0.01%,6 - 9 - 0,40.00%
Greninja,/decks/greninja-a1?game=POCKET&format=standard&set=A1,5,0.01%,7 - 11 - 0,38.89%
Tentacruel Weezing,/decks/tentacruel-weezing-a1?game=POCKET&format=standard&set=A1,5,0.01%,5 - 7 - 1,38.46%
Marowak ex Weezing,/decks/marowak-ex-weezing-a1?game=POCKET&format=standard&set=A1,5,0.01%,7 - 12 - 0,36.84%
Starmie ex Poliwrath,/decks/starmie-ex-poliwrath-a1?game=POCKET&format=standard&set=A1,5,0.01%,8 - 14 - 0,36.36%
Lapras ex Tentacruel,/decks/lapras-ex-p-a-tentacruel-a1?game=POCKET&format=standard&set=A1,5,0.01%,4 - 9 - 0,30.77%
Mewtwo ex Slowbro,/decks/mewtwo-ex-slowbro-a1?game=POCKET&format=standard&set=A1,5,0.01%,8 - 19 - 0,29.63%
Arbok Kabutops,/decks/arbok-kabutops-a1?game=POCKET&format=standard&set=A1,5,0.01%,5 - 11 - 1,29.41%
Exeggutor ex Venusaur,/decks/exeggutor-ex-venusaur-a1?game=POCKET&format=standard&set=A1,5,0.01%,7 - 18 - 0,28.00%
Blastoise ex Exeggutor ex,/decks/blastoise-ex-exeggutor-ex-a1?game=POCKET&format=standard&set=A1,5,0.01%,5 - 15 - 0,25.00%
Dragonite Eelektross,/decks/dragonite-eelektross-a1?game=POCKET&format=standard&set=A1,5,0.01%,4 - 12 - 0,25.00%
Dugtrio Hypno,/decks/dugtrio-hypno-a1?game=POCKET&format=standard&set=A1,5,0.01%,5 - 13 - 2,25.00%
Golem Primeape,/decks/golem-primeape-a1?game=POCKET&format=standard&set=A1,5,0.01%,4 - 13 - 0,23.53%
Gardevoir Golurk,/decks/gardevoir-golurk-a1?game=POCKET&format=standard&set=A1,5,0.01%,4 - 13 - 0,23.53%
Dragonite Zebstrika,/decks/dragonite-zebstrika-a1?game=POCKET&format=standard&set=A1,5,0.01%,5 - 17 - 0,22.73%
Wigglytuff ex Ditto,/decks/wigglytuff-ex-ditto-a1?game=POCKET&format=standard&set=A1,5,0.01%,4 - 14 - 1,21.05%
Pidgeot Grapploct,/decks/pidgeot-grapploct-a1?game=POCKET&format=standard&set=A1,5,0.01%,3 - 12 - 0,20.00%
Marowak ex Grapploct,/decks/marowak-ex-grapploct-a1?game=POCKET&format=standard&set=A1,5,0.01%,3 - 14 - 0,17.65%
Butterfree Exeggutor ex,/decks/butterfree-exeggutor-ex-a1?game=POCKET&format=standard&set=A1,5,0.01%,2 - 12 - 1,13.33%
Dragonair Skiddo,/decks/dragonair-skiddo-a1?game=POCKET&format=standard&set=A1,4,0.01%,14 - 5 - 0,73.68%
Omastar Frosmoth,/decks/omastar-frosmoth-a1?game=POCKET&format=standard&set=A1,4,0.01%,12 - 7 - 0,63.16%
Exeggutor ex Starmie ex,/decks/exeggutor-ex-starmie-ex-a1?game=POCKET&format=standard&set=A1,4,0.01%,14 - 10 - 0,58.33%
Articuno ex Hypno,/decks/articuno-ex-hypno-a1?game=POCKET&format=standard&set=A1,4,0.01%,14 - 11 - 0,56.00%
Wigglytuff ex Tentacruel,/decks/wigglytuff-ex-tentacruel-a1?game=POCKET&format=standard&set=A1,4,0.01%,11 - 9 - 0,55.00%
Starmie ex Articuno,/decks/starmie-ex-articuno-a1?game=POCKET&format=standard&set=A1,4,0.01%,14 - 12 - 0,53.85%
Greninja Dugtrio,/decks/greninja-dugtrio-a1?game=POCKET&format=standard&set=A1,4,0.01%,12 - 11 - 0,52.17%
Mewtwo ex Muk,/decks/mewtwo-ex-muk-a1?game=POCKET&format=standard&set=A1,4,0.01%,14 - 13 - 0,51.85%
Marowak ex Greninja,/decks/marowak-ex-greninja-a1?game=POCKET&format=standard&set=A1,4,0.01%,11 - 10 - 1,50.00%
Greninja Kingler,/decks/greninja-kingler-a1?game=POCKET&format=standard&set=A1,4,0.01%,10 - 10 - 0,50.00%
Articuno ex Wigglytuff ex,/decks/articuno-ex-wigglytuff-ex-a1?game=POCKET&format=standard&set=A1,4,0.01%,8 - 9 - 0,47.06%
Pidgeot Alakazam,/decks/pidgeot-alakazam-a1?game=POCKET&format=standard&set=A1,4,0.01%,10 - 12 - 0,45.45%
Victreebel Weezing,/decks/victreebel-weezing-a1?game=POCKET&format=standard&set=A1,4,0.01%,10 - 12 - 0,45.45%
Wigglytuff ex Golduck,/decks/wigglytuff-ex-golduck-a1?game=POCKET&format=standard&set=A1,4,0.01%,10 - 12 - 0,45.45%
Starmie ex Dragonite,/decks/starmie-ex-dragonite-a1?game=POCKET&format=standard&set=A1,4,0.01%,9 - 11 - 0,45.00%
Pidgeot Greninja,/decks/pidgeot-greninja-a1?game=POCKET&format=standard&set=A1,4,0.01%,9 - 11 - 0,45.00%
Dragonite Heliolisk,/decks/dragonite-heliolisk-a1?game=POCKET&format=standard&set=A1,4,0.01%,8 - 10 - 0,44.44%
Ninetales Moltres ex,/decks/ninetales-moltres-ex-a1?game=POCKET&format=standard&set=A1,4,0.01%,10 - 13 - 0,43.48%
Sandslash Farfetch'd,/decks/sandslash-farfetchd-a1?game=POCKET&format=standard&set=A1,4,0.01%,9 - 12 - 0,42.86%
Lapras ex Starmie,/decks/lapras-ex-p-a-starmie-a1?game=POCKET&format=standard&set=A1,4,0.01%,6 - 8 - 0,42.86%
Wigglytuff ex Primeape,/decks/wigglytuff-ex-primeape-a1?game=POCKET&format=standard&set=A1,4,0.01%,10 - 14 - 0,41.67%
Weezing Articuno ex,/decks/weezing-articuno-ex-a1?game=POCKET&format=standard&set=A1,4,0.01%,7 - 10 - 0,41.18%
Dragonair,/decks/dragonair-a1?game=POCKET&format=standard&set=A1,4,0.01%,4 - 6 - 0,40.00%
Sandslash Dugtrio,/decks/sandslash-dugtrio-a1?game=POCKET&format=standard&set=A1,4,0.01%,6 - 9 - 0,40.00%
Blastoise ex Persian,/decks/blastoise-ex-persian-a1?game=POCKET&format=standard&set=A1,4,0.01%,7 - 11 - 0,38.89%
Blastoise ex Lapras,/decks/blastoise-ex-lapras-a1?game=POCKET&format=standard&set=A1,4,0.01%,5 - 7 - 1,38.46%
Dragonite Chansey,/decks/dragonite-chansey-a1?game=POCKET&format=standard&set=A1,4,0.01%,8 - 13 - 0,38.10%
Blastoise ex Cloyster,/decks/blastoise-ex-cloyster-a1?game=POCKET&format=standard&set=A1,4,0.01%,6 - 10 - 0,37.50%
Eelektross Hypno,/decks/eelektross-hypno-a1?game=POCKET&format=standard&set=A1,4,0.01%,5 - 9 - 0,35.71%
Melmetal Aerodactyl,/decks/melmetal-aerodactyl-a1?game=POCKET&format=standard&set=A1,4,0.01%,6 - 11 - 0,35.29%
Golem Weezing,/decks/golem-weezing-a1?game=POCKET&format=standard&set=A1,4,0.01%,5 - 10 - 0,33.33%
Exeggutor ex Lilligant,/decks/exeggutor-ex-lilligant-a1?game=POCKET&format=standard&set=A1,4,0.01%,6 - 11 - 1,33.33%
Tentacruel Omastar,/decks/tentacruel-omastar-a1?game=POCKET&format=standard&set=A1,4,0.01%,8 - 16 - 0,33.33%
Nidoking Nidoqueen,/decks/nidoking-nidoqueen-a1?game=POCKET&format=standard&set=A1,4,0.01%,5 - 11 - 0,31.25%
Hypno Mewtwo ex,/decks/hypno-mewtwo-ex-a1?game=POCKET&format=standard&set=A1,4,0.01%,5 - 11 - 1,29.41%
Poliwrath Greninja,/decks/poliwrath-greninja-a1?game=POCKET&format=standard&set=A1,4,0.01%,5 - 13 - 0,27.78%
Raichu Electrode,/decks/raichu-electrode-a1?game=POCKET&format=standard&set=A1,4,0.01%,3 - 8 - 0,27.27%
Wigglytuff ex Butterfree,/decks/wigglytuff-ex-butterfree-a1?game=POCKET&format=standard&set=A1,4,0.01%,5 - 14 - 0,26.32%
Charizard ex,/decks/charizard-ex-a1?game=POCKET&format=standard&set=A1,4,0.01%,4 - 12 - 0,25.00%
Wigglytuff ex Golbat,/decks/wigglytuff-ex-golbat-a1?game=POCKET&format=standard&set=A1,4,0.01%,4 - 12 - 0,25.00%
Pidgeot Articuno ex,/decks/pidgeot-articuno-ex-a1?game=POCKET&format=standard&set=A1,4,0.01%,4 - 13 - 0,23.53%
Butterfree Kabutops,/decks/butterfree-kabutops-a1?game=POCKET&format=standard&set=A1,4,0.01%,3 - 10 - 0,23.08%
Gardevoir Gengar ex,/decks/gardevoir-gengar-ex-a1?game=POCKET&format=standard&set=A1,4,0.01%,2 - 8 - 0,20.00%
Weezing Omastar,/decks/weezing-omastar-a1?game=POCKET&format=standard&set=A1,4,0.01%,2 - 8 - 0,20.00%
Wartortle Poliwhirl,/decks/wartortle-poliwhirl-a1?game=POCKET&format=standard&set=A1,4,0.01%,2 - 9 - 0,18.18%
Pidgeot Ditto,/decks/pidgeot-ditto-a1?game=POCKET&format=standard&set=A1,4,0.01%,0 - 5 - 0,0.00%
Lapras ex Hypno,/decks/lapras-ex-p-a-hypno-a1?game=POCKET&format=standard&set=A1,3,0.01%,17 - 8 - 0,68.00%
Pidgeotto Dragonair,/decks/pidgeotto-dragonair-a1?game=POCKET&format=standard&set=A1,3,0.01%,9 - 5 - 0,64.29%
Articuno ex Omanyte,/decks/articuno-ex-omanyte-a1?game=POCKET&format=standard&set=A1,3,0.01%,10 - 7 - 0,58.82%
Wigglytuff ex Articuno,/decks/wigglytuff-ex-articuno-a1?game=POCKET&format=standard&set=A1,3,0.01%,9 - 7 - 0,56.25%
Poliwrath Starmie ex,/decks/poliwrath-starmie-ex-a1?game=POCKET&format=standard&set=A1,3,0.01%,10 - 8 - 0,55.56%
Ivysaur Skiddo,/decks/ivysaur-skiddo-a1?game=POCKET&format=standard&set=A1,3,0.01%,6 - 5 - 0,54.55%
Zapdos ex Hypno,/decks/zapdos-ex-hypno-a1?game=POCKET&format=standard&set=A1,3,0.01%,7 - 4 - 2,53.85%
Ninetales Heatmor,/decks/ninetales-heatmor-a1?game=POCKET&format=standard&set=A1,3,0.01%,8 - 7 - 0,53.33%
Arcanine ex Mienshao,/decks/arcanine-ex-mienshao-a1?game=POCKET&format=standard&set=A1,3,0.01%,9 - 8 - 0,52.94%
Dugtrio Golem,/decks/dugtrio-golem-a1?game=POCKET&format=standard&set=A1,3,0.01%,8 - 7 - 1,50.00%
Wigglytuff ex Sandslash,/decks/wigglytuff-ex-sandslash-a1?game=POCKET&format=standard&set=A1,3,0.01%,5 - 5 - 0,50.00%
Greninja Zebstrika,/decks/greninja-zebstrika-a1?game=POCKET&format=standard&set=A1,3,0.01%,5 - 5 - 0,50.00%
Starmie ex Persian,/decks/starmie-ex-persian-a1?game=POCKET&format=standard&set=A1,3,0.01%,6 - 6 - 0,50.00%
Arcanine ex Exeggutor ex,/decks/arcanine-ex-exeggutor-ex-a1?game=POCKET&format=standard&set=A1,3,0.01%,8 - 8 - 0,50.00%
Starmie ex Wigglytuff,/decks/starmie-ex-wigglytuff-a1?game=POCKET&format=standard&set=A1,3,0.01%,8 - 8 - 0,50.00%
Blastoise ex Chansey,/decks/blastoise-ex-chansey-a1?game=POCKET&format=standard&set=A1,3,0.01%,9 - 7 - 3,47.37%
Vileplume Exeggutor ex,/decks/vileplume-exeggutor-ex-a1?game=POCKET&format=standard&set=A1,3,0.01%,7 - 8 - 0,46.67%
Pidgeot Dragonite,/decks/pidgeot-dragonite-a1?game=POCKET&format=standard&set=A1,3,0.01%,6 - 7 - 0,46.15%
Zapdos ex Articuno ex,/decks/zapdos-ex-articuno-ex-a1?game=POCKET&format=standard&set=A1,3,0.01%,5 - 6 - 0,45.45%
Gardevoir Alakazam,/decks/gardevoir-alakazam-a1?game=POCKET&format=standard&set=A1,3,0.01%,5 - 6 - 0,45.45%
Blastoise ex Tauros,/decks/blastoise-ex-tauros-a1?game=POCKET&format=standard&set=A1,3,0.01%,7 - 9 - 0,43.75%
Zebstrika Heliolisk,/decks/zebstrika-heliolisk-a1?game=POCKET&format=standard&set=A1,3,0.01%,9 - 11 - 1,42.86%
Frosmoth Articuno ex,/decks/frosmoth-articuno-ex-a1?game=POCKET&format=standard&set=A1,3,0.01%,8 - 11 - 0,42.11%
Alakazam Kabutops,/decks/alakazam-kabutops-a1?game=POCKET&format=standard&set=A1,3,0.01%,5 - 7 - 0,41.67%
Blastoise ex Weezing,/decks/blastoise-ex-weezing-a1?game=POCKET&format=standard&set=A1,3,0.01%,4 - 6 - 0,40.00%
Ivysaur Kakuna,/decks/ivysaur-kakuna-a1?game=POCKET&format=standard&set=A1,3,0.01%,4 - 4 - 2,40.00%
Zapdos ex Greninja,/decks/zapdos-ex-greninja-a1?game=POCKET&format=standard&set=A1,3,0.01%,6 - 9 - 0,40.00%
Starmie ex Alakazam,/decks/starmie-ex-alakazam-a1?game=POCKET&format=standard&set=A1,3,0.01%,4 - 6 - 0,40.00%
Dragonite Golbat,/decks/dragonite-golbat-a1?game=POCKET&format=standard&set=A1,3,0.01%,4 - 6 - 0,40.00%
Starmie ex Seaking,/decks/starmie-ex-seaking-a1?game=POCKET&format=standard&set=A1,3,0.01%,4 - 6 - 0,40.00%
Omastar Pidgeot,/decks/omastar-pidgeot-a1?game=POCKET&format=standard&set=A1,3,0.01%,7 - 11 - 0,38.89%
Wigglytuff ex Rapidash,/decks/wigglytuff-ex-rapidash-a1?game=POCKET&format=standard&set=A1,3,0.01%,5 - 8 - 0,38.46%
Dragonite Wigglytuff,/decks/dragonite-wigglytuff-a1?game=POCKET&format=standard&set=A1,3,0.01%,5 - 8 - 0,38.46%
Raichu Zebstrika,/decks/raichu-zebstrika-a1?game=POCKET&format=standard&set=A1,3,0.01%,5 - 8 - 0,38.46%
Alakazam Wigglytuff,/decks/alakazam-wigglytuff-a1?game=POCKET&format=standard&set=A1,3,0.01%,6 - 10 - 0,37.50%
Jolteon Pikachu ex,/decks/jolteon-pikachu-ex-a1?game=POCKET&format=standard&set=A1,3,0.01%,3 - 5 - 0,37.50%
