,Deck,Count,Share,Score,Win_Percentage,Deck_links
185,Exeggutor ex Exeggutor,16,0.04%,33 - 45 - 1,41.77%,/decks/exeggutor-ex-a1-exeggutor-a1a?game=POCKET&format=standard&set=A2
186,Mew ex Garchomp,16,0.04%,33 - 46 - 0,41.77%,/decks/mew-ex-a1a-garchomp-a2?game=POCKET&format=standard&set=A2
187,Infernape ex Chatot,16,0.04%,27 - 42 - 0,39.13%,/decks/infernape-ex-a2-chatot-a1a?game=POCKET&format=standard&set=A2
188,Melmetal Dialga ex,16,0.04%,27 - 46 - 2,36.00%,/decks/melmetal-a1-dialga-ex-a2?game=POCKET&format=standard&set=A2
189,Darkrai ex Spiritomb,15,0.04%,45 - 34 - 2,55.56%,/decks/darkrai-ex-spiritomb-a2?game=POCKET&format=standard&set=A2
190,Magnezone Exeggutor,15,0.04%,42 - 42 - 1,49.41%,/decks/magnezone-a2-exeggutor-a1?game=POCKET&format=standard&set=A2
191,Infernape ex Magcargo,15,0.04%,36 - 38 - 0,48.65%,/decks/infernape-ex-magcargo-a2?game=POCKET&format=standard&set=A2
192,Gyarados ex Frost Rotom,15,0.04%,33 - 35 - 0,48.53%,/decks/gyarados-ex-a1a-frost-rotom-a2?game=POCKET&format=standard&set=A2
193,Darkrai ex Druddigon,15,0.04%,32 - 44 - 0,42.11%,/decks/darkrai-ex-a2-druddigon-a1a?game=POCKET&format=standard&set=A2
194,Dialga ex Wigglytuff ex,15,0.04%,29 - 38 - 2,42.03%,/decks/dialga-ex-a2-wigglytuff-ex-a1?game=POCKET&format=standard&set=A2
195,Magnezone Dialga ex,15,0.04%,16 - 27 - 3,34.78%,/decks/magnezone-dialga-ex-a2?game=POCKET&format=standard&set=A2
196,Magnezone Rampardos,14,0.03%,60 - 36 - 1,61.86%,/decks/magnezone-rampardos-a2?game=POCKET&format=standard&set=A2
197,Starmie ex Magnezone,14,0.03%,32 - 27 - 0,54.24%,/decks/starmie-ex-a1-magnezone-a2?game=POCKET&format=standard&set=A2
198,Exeggutor ex Leafeon,14,0.03%,34 - 33 - 1,50.00%,/decks/exeggutor-ex-a1-leafeon-a2?game=POCKET&format=standard&set=A2
199,Garchomp Giratina,14,0.03%,33 - 34 - 0,49.25%,/decks/garchomp-giratina-a2?game=POCKET&format=standard&set=A2
200,Darkrai ex Honchkrow,14,0.03%,29 - 34 - 0,46.03%,/decks/darkrai-ex-honchkrow-a2?game=POCKET&format=standard&set=A2
201,Marowak ex Rampardos,14,0.03%,29 - 37 - 1,43.28%,/decks/marowak-ex-a1-rampardos-a2?game=POCKET&format=standard&set=A2
202,Rampardos Aerodactyl ex,14,0.03%,32 - 44 - 0,42.11%,/decks/rampardos-a2-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A2
203,Serperior Exeggutor ex,14,0.03%,29 - 41 - 0,41.43%,/decks/serperior-a1a-exeggutor-ex-a1?game=POCKET&format=standard&set=A2
204,Dialga ex Porygon-Z,14,0.03%,30 - 42 - 1,41.10%,/decks/dialga-ex-porygon-z-a2?game=POCKET&format=standard&set=A2
205,Celebi ex,14,0.03%,20 - 35 - 0,36.36%,/decks/celebi-ex-a1a?game=POCKET&format=standard&set=A2
206,Gallade ex Aerodactyl ex,14,0.03%,19 - 35 - 0,35.19%,/decks/gallade-ex-a2-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A2
207,Pikachu ex Electrode,14,0.03%,20 - 38 - 1,33.90%,/decks/pikachu-ex-electrode-a1?game=POCKET&format=standard&set=A2
208,Venusaur ex,14,0.03%,20 - 39 - 0,33.90%,/decks/venusaur-ex-a1?game=POCKET&format=standard&set=A2
209,Exeggutor ex Butterfree,14,0.03%,12 - 26 - 0,31.58%,/decks/exeggutor-ex-butterfree-a1?game=POCKET&format=standard&set=A2
210,Golem,14,0.03%,16 - 37 - 0,30.19%,/decks/golem-a1a?game=POCKET&format=standard&set=A2
211,Dragonite Magneton,14,0.03%,14 - 39 - 0,26.42%,/decks/dragonite-magneton-a1?game=POCKET&format=standard&set=A2
212,Mew ex Hypno,14,0.03%,4 - 30 - 1,11.43%,/decks/mew-ex-a1a-hypno-a1?game=POCKET&format=standard&set=A2
213,Yanmega ex Exeggutor ex,13,0.03%,38 - 39 - 0,49.35%,/decks/yanmega-ex-a2-exeggutor-ex-a1?game=POCKET&format=standard&set=A2
214,Blastoise ex Druddigon,13,0.03%,36 - 37 - 1,48.65%,/decks/blastoise-ex-a1-druddigon-a1a?game=POCKET&format=standard&set=A2
215,Aerodactyl ex Pidgeot,13,0.03%,22 - 27 - 1,44.00%,/decks/aerodactyl-ex-a1a-pidgeot-a1?game=POCKET&format=standard&set=A2
216,Blastoise ex Blastoise,13,0.03%,24 - 38 - 0,38.71%,/decks/blastoise-ex-blastoise-a1?game=POCKET&format=standard&set=A2
217,Exeggutor ex Darkrai ex,13,0.03%,17 - 29 - 0,36.96%,/decks/exeggutor-ex-a1-darkrai-ex-a2?game=POCKET&format=standard&set=A2
218,Gallade ex Farfetch'd,13,0.03%,17 - 28 - 1,36.96%,/decks/gallade-ex-a2-farfetchd-a1?game=POCKET&format=standard&set=A2
219,Aerodactyl ex Hitmonlee,13,0.03%,19 - 36 - 0,34.55%,/decks/aerodactyl-ex-a1a-hitmonlee-a1?game=POCKET&format=standard&set=A2
220,Pidgeot ex Druddigon,13,0.03%,14 - 32 - 0,30.43%,/decks/pidgeot-ex-druddigon-a1a?game=POCKET&format=standard&set=A2
221,Infernape ex Dodrio,13,0.03%,13 - 30 - 1,29.55%,/decks/infernape-ex-a2-dodrio-a1?game=POCKET&format=standard&set=A2
222,Melmetal Mew ex,13,0.03%,14 - 34 - 1,28.57%,/decks/melmetal-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
223,Lucario Aerodactyl ex,12,0.03%,34 - 29 - 0,53.97%,/decks/lucario-a2-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A2
224,Gyarados ex Gyarados,12,0.03%,32 - 29 - 0,52.46%,/decks/gyarados-ex-a1a-gyarados-a1?game=POCKET&format=standard&set=A2
225,Wormadam Mew ex,12,0.03%,26 - 31 - 0,45.61%,/decks/wormadam-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2
226,Starmie ex Lumineon,12,0.03%,20 - 30 - 0,40.00%,/decks/starmie-ex-a1-lumineon-a2?game=POCKET&format=standard&set=A2
227,Togekiss Mismagius ex,12,0.03%,16 - 29 - 0,35.56%,/decks/togekiss-mismagius-ex-a2?game=POCKET&format=standard&set=A2
228,Mew ex Uxie,12,0.03%,11 - 30 - 0,26.83%,/decks/mew-ex-a1a-uxie-a2?game=POCKET&format=standard&set=A2
229,Venusaur ex Celebi ex,12,0.03%,13 - 36 - 1,26.00%,/decks/venusaur-ex-a1-celebi-ex-a1a?game=POCKET&format=standard&set=A2
230,Gyarados ex Starmie ex,12,0.03%,7 - 28 - 0,20.00%,/decks/gyarados-ex-a1a-starmie-ex-a1?game=POCKET&format=standard&set=A2
231,Aerodactyl ex Magnezone,11,0.03%,26 - 22 - 1,53.06%,/decks/aerodactyl-ex-a1a-magnezone-a2?game=POCKET&format=standard&set=A2
232,Farfetch'd Hitmonlee,11,0.03%,21 - 25 - 0,45.65%,/decks/farfetchd-hitmonlee-a1?game=POCKET&format=standard&set=A2
233,Infernape ex Mew ex,11,0.03%,17 - 24 - 0,41.46%,/decks/infernape-ex-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2
234,Dialga ex Golem,11,0.03%,14 - 21 - 0,40.00%,/decks/dialga-ex-a2-golem-a1?game=POCKET&format=standard&set=A2
235,Golem Regirock,11,0.03%,16 - 27 - 0,37.21%,/decks/golem-a1a-regirock-a2?game=POCKET&format=standard&set=A2
236,Dragonite Manaphy,11,0.03%,15 - 27 - 0,35.71%,/decks/dragonite-a1-manaphy-a2?game=POCKET&format=standard&set=A2
237,Pachirisu ex Electivire,11,0.03%,16 - 30 - 0,34.78%,/decks/pachirisu-ex-electivire-a2?game=POCKET&format=standard&set=A2
238,Exeggutor ex Exeggutor,11,0.03%,10 - 20 - 0,33.33%,/decks/exeggutor-ex-exeggutor-a1?game=POCKET&format=standard&set=A2
239,Gallade ex Hitmonchan,10,0.02%,37 - 25 - 0,59.68%,/decks/gallade-ex-a2-hitmonchan-a1?game=POCKET&format=standard&set=A2
240,Gallade ex Primeape,10,0.02%,22 - 22 - 0,50.00%,/decks/gallade-ex-a2-primeape-a1a?game=POCKET&format=standard&set=A2
241,Togekiss Azelf,10,0.02%,27 - 26 - 1,50.00%,/decks/togekiss-azelf-a2?game=POCKET&format=standard&set=A2
242,Machamp ex Hitmonlee,10,0.02%,22 - 22 - 0,50.00%,/decks/machamp-ex-hitmonlee-a1?game=POCKET&format=standard&set=A2
243,Weavile ex Mew ex,10,0.02%,20 - 21 - 0,48.78%,/decks/weavile-ex-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2
244,Wigglytuff ex Mew ex,10,0.02%,16 - 15 - 2,48.48%,/decks/wigglytuff-ex-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
245,Luxray Magnezone,10,0.02%,22 - 24 - 0,47.83%,/decks/luxray-magnezone-a2?game=POCKET&format=standard&set=A2
246,Gyarados ex Magnezone,10,0.02%,18 - 23 - 0,43.90%,/decks/gyarados-ex-a1a-magnezone-a2?game=POCKET&format=standard&set=A2
247,Magnezone Raichu,10,0.02%,15 - 20 - 0,42.86%,/decks/magnezone-a2-raichu-a1?game=POCKET&format=standard&set=A2
248,Rampardos,10,0.02%,18 - 29 - 0,38.30%,/decks/rampardos-a2?game=POCKET&format=standard&set=A2
249,Blastoise ex Articuno ex,10,0.02%,14 - 22 - 1,37.84%,/decks/blastoise-ex-articuno-ex-a1?game=POCKET&format=standard&set=A2
250,Lickilicky ex Mew ex,10,0.02%,18 - 29 - 1,37.50%,/decks/lickilicky-ex-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2
251,Zebstrika Pikachu ex,10,0.02%,10 - 17 - 0,37.04%,/decks/zebstrika-pikachu-ex-a1?game=POCKET&format=standard&set=A2
252,Weezing Mew ex,10,0.02%,13 - 23 - 0,36.11%,/decks/weezing-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
253,Exeggutor ex,10,0.02%,11 - 20 - 0,35.48%,/decks/exeggutor-ex-a1?game=POCKET&format=standard&set=A2
254,Mew ex Gardevoir,10,0.02%,15 - 30 - 1,32.61%,/decks/mew-ex-a1a-gardevoir-a1?game=POCKET&format=standard&set=A2
255,Togekiss Florges,10,0.02%,10 - 21 - 0,32.26%,/decks/togekiss-a2-florges-a1a?game=POCKET&format=standard&set=A2
256,Dragonite Mew ex,10,0.02%,15 - 33 - 0,31.25%,/decks/dragonite-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
257,Mew ex Weezing,10,0.02%,8 - 19 - 0,29.63%,/decks/mew-ex-a1a-weezing-a1?game=POCKET&format=standard&set=A2
258,Articuno ex Starmie ex,10,0.02%,8 - 21 - 1,26.67%,/decks/articuno-ex-starmie-ex-a1?game=POCKET&format=standard&set=A2
259,Golem Hitmonlee,10,0.02%,8 - 22 - 0,26.67%,/decks/golem-a1a-hitmonlee-a1?game=POCKET&format=standard&set=A2
260,Mew ex Greninja,10,0.02%,7 - 21 - 0,25.00%,/decks/mew-ex-a1a-greninja-a1?game=POCKET&format=standard&set=A2
261,Gallade ex Marowak ex,10,0.02%,7 - 24 - 0,22.58%,/decks/gallade-ex-a2-marowak-ex-a1?game=POCKET&format=standard&set=A2
262,Mew ex Magnezone,10,0.02%,6 - 22 - 0,21.43%,/decks/mew-ex-a1a-magnezone-a2?game=POCKET&format=standard&set=A2
263,Magnezone Heatmor,9,0.02%,25 - 21 - 1,53.19%,/decks/magnezone-a2-heatmor-a1?game=POCKET&format=standard&set=A2
264,Dragonite,9,0.02%,28 - 25 - 0,52.83%,/decks/dragonite-a1?game=POCKET&format=standard&set=A2
265,Infernape ex Arcanine ex,9,0.02%,24 - 24 - 0,50.00%,/decks/infernape-ex-a2-arcanine-ex-a1?game=POCKET&format=standard&set=A2
266,Dialga ex Wormadam,9,0.02%,18 - 20 - 0,47.37%,/decks/dialga-ex-wormadam-a2?game=POCKET&format=standard&set=A2
267,Mew ex Dragonite,9,0.02%,15 - 19 - 0,44.12%,/decks/mew-ex-a1a-dragonite-a1?game=POCKET&format=standard&set=A2
268,Dialga ex Probopass,9,0.02%,15 - 21 - 0,41.67%,/decks/dialga-ex-probopass-a2?game=POCKET&format=standard&set=A2
269,Mismagius ex Mewtwo ex,9,0.02%,15 - 21 - 0,41.67%,/decks/mismagius-ex-a2-mewtwo-ex-a1?game=POCKET&format=standard&set=A2
270,Dialga ex,9,0.02%,16 - 26 - 0,38.10%,/decks/dialga-ex-a2?game=POCKET&format=standard&set=A2
271,Aerodactyl ex Primeape,9,0.02%,12 - 24 - 0,33.33%,/decks/aerodactyl-ex-a1a-primeape-a1?game=POCKET&format=standard&set=A2
272,Starmie ex Vaporeon,9,0.02%,10 - 20 - 0,33.33%,/decks/starmie-ex-a1-vaporeon-a1a?game=POCKET&format=standard&set=A2
273,Starmie ex Mew ex,9,0.02%,11 - 24 - 0,31.43%,/decks/starmie-ex-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
274,Blastoise ex Vaporeon,9,0.02%,9 - 22 - 0,29.03%,/decks/blastoise-ex-a1-vaporeon-a1a?game=POCKET&format=standard&set=A2
275,Melmetal Skarmory,9,0.02%,7 - 21 - 0,25.00%,/decks/melmetal-a1-skarmory-a2?game=POCKET&format=standard&set=A2
276,Greninja Articuno ex,9,0.02%,4 - 20 - 0,16.67%,/decks/greninja-articuno-ex-a1?game=POCKET&format=standard&set=A2
277,Bisharp Skarmory,9,0.02%,3 - 21 - 1,12.00%,/decks/bisharp-a1-skarmory-a2?game=POCKET&format=standard&set=A2
278,Rampardos Marshadow,8,0.02%,23 - 19 - 0,54.76%,/decks/rampardos-a2-marshadow-a1a?game=POCKET&format=standard&set=A2
279,Articuno ex Mew ex,8,0.02%,21 - 18 - 0,53.85%,/decks/articuno-ex-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
280,Dugtrio Lucario,8,0.02%,16 - 18 - 0,47.06%,/decks/dugtrio-a1-lucario-a2?game=POCKET&format=standard&set=A2
281,Luxray Druddigon,8,0.02%,19 - 22 - 0,46.34%,/decks/luxray-a2-druddigon-a1a?game=POCKET&format=standard&set=A2
282,Palkia ex Mew ex,8,0.02%,18 - 21 - 0,46.15%,/decks/palkia-ex-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2
283,Darkrai ex Mew ex,8,0.02%,18 - 22 - 0,45.00%,/decks/darkrai-ex-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2
284,Yanmega ex Palkia ex,8,0.02%,16 - 20 - 0,44.44%,/decks/yanmega-ex-palkia-ex-a2?game=POCKET&format=standard&set=A2
285,Mismagius ex,8,0.02%,14 - 18 - 0,43.75%,/decks/mismagius-ex-a2?game=POCKET&format=standard&set=A2
286,Garchomp Chatot,8,0.02%,17 - 22 - 0,43.59%,/decks/garchomp-a2-chatot-a1a?game=POCKET&format=standard&set=A2
287,Magnezone Palkia ex,8,0.02%,16 - 21 - 0,43.24%,/decks/magnezone-palkia-ex-a2?game=POCKET&format=standard&set=A2
288,Celebi ex Magnezone,8,0.02%,19 - 24 - 1,43.18%,/decks/celebi-ex-a1a-magnezone-a2?game=POCKET&format=standard&set=A2
289,Rampardos Regirock,8,0.02%,14 - 18 - 1,42.42%,/decks/rampardos-regirock-a2?game=POCKET&format=standard&set=A2
290,Greninja Weavile ex,8,0.02%,15 - 22 - 0,40.54%,/decks/greninja-a1-weavile-ex-a2?game=POCKET&format=standard&set=A2
291,Magnezone Weezing,8,0.02%,13 - 20 - 1,38.24%,/decks/magnezone-a2-weezing-a1?game=POCKET&format=standard&set=A2
292,Dragonite Regirock,8,0.02%,12 - 21 - 0,36.36%,/decks/dragonite-a1-regirock-a2?game=POCKET&format=standard&set=A2
293,Magnezone Pikachu ex,8,0.02%,9 - 16 - 0,36.00%,/decks/magnezone-a2-pikachu-ex-a1?game=POCKET&format=standard&set=A2
294,Moltres ex Ninetales,8,0.02%,8 - 16 - 0,33.33%,/decks/moltres-ex-ninetales-a1?game=POCKET&format=standard&set=A2
295,Exeggutor ex Shaymin,8,0.02%,9 - 22 - 0,29.03%,/decks/exeggutor-ex-a1-shaymin-a2?game=POCKET&format=standard&set=A2
296,Luxray Pachirisu ex,8,0.02%,8 - 21 - 0,27.59%,/decks/luxray-pachirisu-ex-a2?game=POCKET&format=standard&set=A2
297,Moltres ex Charizard ex,8,0.02%,7 - 22 - 0,24.14%,/decks/moltres-ex-charizard-ex-a1?game=POCKET&format=standard&set=A2
298,Mew ex Farfetch'd,8,0.02%,5 - 19 - 0,20.83%,/decks/mew-ex-a1a-farfetchd-a1?game=POCKET&format=standard&set=A2
299,Articuno ex Aerodactyl ex,7,0.02%,21 - 18 - 0,53.85%,/decks/articuno-ex-a1-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A2
300,Rhyperior Regirock,7,0.02%,19 - 17 - 0,52.78%,/decks/rhyperior-regirock-a2?game=POCKET&format=standard&set=A2
301,Luxray Electrode,7,0.02%,15 - 15 - 0,50.00%,/decks/luxray-electrode-a2?game=POCKET&format=standard&set=A2
302,Luxray Zapdos ex,7,0.02%,15 - 15 - 0,50.00%,/decks/luxray-a2-zapdos-ex-a1?game=POCKET&format=standard&set=A2
303,Infernape ex Rotom,7,0.02%,13 - 14 - 0,48.15%,/decks/infernape-ex-rotom-a2?game=POCKET&format=standard&set=A2
304,Electrode Electivire,7,0.02%,15 - 17 - 0,46.88%,/decks/electrode-electivire-a2?game=POCKET&format=standard&set=A2
305,Scolipede Darkrai ex,7,0.02%,17 - 20 - 1,44.74%,/decks/scolipede-a1a-darkrai-ex-a2?game=POCKET&format=standard&set=A2
306,Cresselia ex Dusknoir,7,0.02%,11 - 13 - 1,44.00%,/decks/cresselia-ex-p-a-dusknoir-a2?game=POCKET&format=standard&set=A2
307,Pidgeot Skarmory,7,0.02%,14 - 20 - 0,41.18%,/decks/pidgeot-a1-skarmory-a2?game=POCKET&format=standard&set=A2
308,Sandslash Lucario,7,0.02%,12 - 18 - 0,40.00%,/decks/sandslash-a1-lucario-a2?game=POCKET&format=standard&set=A2
309,Primeape Rampardos,7,0.02%,13 - 20 - 0,39.39%,/decks/primeape-a1-rampardos-a2?game=POCKET&format=standard&set=A2
310,Marowak ex Primeape,7,0.02%,9 - 15 - 0,37.50%,/decks/marowak-ex-primeape-a1?game=POCKET&format=standard&set=A2
311,Venusaur ex Exeggutor,7,0.02%,7 - 13 - 0,35.00%,/decks/venusaur-ex-exeggutor-a1?game=POCKET&format=standard&set=A2
312,Serperior Celebi ex,7,0.02%,7 - 13 - 0,35.00%,/decks/serperior-celebi-ex-a1a?game=POCKET&format=standard&set=A2
313,Garchomp Yanmega ex,7,0.02%,9 - 17 - 0,34.62%,/decks/garchomp-yanmega-ex-a2?game=POCKET&format=standard&set=A2
314,Starmie ex Yanmega ex,7,0.02%,10 - 19 - 0,34.48%,/decks/starmie-ex-a1-yanmega-ex-a2?game=POCKET&format=standard&set=A2
315,Garchomp Combee,7,0.02%,8 - 16 - 0,33.33%,/decks/garchomp-combee-a2?game=POCKET&format=standard&set=A2
316,Vaporeon Palkia ex,7,0.02%,9 - 19 - 0,32.14%,/decks/vaporeon-a1a-palkia-ex-a2?game=POCKET&format=standard&set=A2
317,Lickilicky ex Yanmega ex,7,0.02%,5 - 11 - 0,31.25%,/decks/lickilicky-ex-yanmega-ex-a2?game=POCKET&format=standard&set=A2
318,Darkrai ex Skuntank,7,0.02%,10 - 24 - 0,29.41%,/decks/darkrai-ex-skuntank-a2?game=POCKET&format=standard&set=A2
319,Blastoise ex Mew ex,7,0.02%,6 - 15 - 0,28.57%,/decks/blastoise-ex-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
320,Infernape ex Druddigon,7,0.02%,8 - 20 - 1,27.59%,/decks/infernape-ex-a2-druddigon-a1a?game=POCKET&format=standard&set=A2
321,Golem Marshadow,7,0.02%,6 - 15 - 1,27.27%,/decks/golem-marshadow-a1a?game=POCKET&format=standard&set=A2
322,Venusaur ex Druddigon,7,0.02%,6 - 18 - 1,24.00%,/decks/venusaur-ex-a1-druddigon-a1a?game=POCKET&format=standard&set=A2
323,Bastiodon Dialga ex,7,0.02%,4 - 17 - 0,19.05%,/decks/bastiodon-dialga-ex-a2?game=POCKET&format=standard&set=A2
324,Magnezone Tauros,6,0.01%,24 - 17 - 0,58.54%,/decks/magnezone-a2-tauros-a1a?game=POCKET&format=standard&set=A2
325,Magnezone Vespiquen,6,0.01%,17 - 15 - 0,53.13%,/decks/magnezone-vespiquen-a2?game=POCKET&format=standard&set=A2
326,Lucario,6,0.01%,16 - 17 - 0,48.48%,/decks/lucario-a2?game=POCKET&format=standard&set=A2
327,Rhyperior Druddigon,6,0.01%,14 - 14 - 1,48.28%,/decks/rhyperior-a2-druddigon-a1a?game=POCKET&format=standard&set=A2
328,Gyarados ex Lumineon,6,0.01%,10 - 11 - 0,47.62%,/decks/gyarados-ex-lumineon-a1a?game=POCKET&format=standard&set=A2
329,Weezing Honchkrow,6,0.01%,8 - 9 - 0,47.06%,/decks/weezing-a1-honchkrow-a2?game=POCKET&format=standard&set=A2
330,Mew ex Florges,6,0.01%,13 - 15 - 0,46.43%,/decks/mew-ex-florges-a1a?game=POCKET&format=standard&set=A2
331,Blastoise ex,6,0.01%,11 - 13 - 0,45.83%,/decks/blastoise-ex-a1?game=POCKET&format=standard&set=A2
332,Exeggutor ex Venomoth,6,0.01%,11 - 13 - 0,45.83%,/decks/exeggutor-ex-venomoth-a1?game=POCKET&format=standard&set=A2
333,Wigglytuff ex Exeggutor ex,6,0.01%,10 - 12 - 0,45.45%,/decks/wigglytuff-ex-exeggutor-ex-a1?game=POCKET&format=standard&set=A2
334,Darkrai ex,6,0.01%,14 - 17 - 0,45.16%,/decks/darkrai-ex-a2?game=POCKET&format=standard&set=A2
335,Marowak ex Sandslash,6,0.01%,10 - 13 - 0,43.48%,/decks/marowak-ex-sandslash-a1?game=POCKET&format=standard&set=A2
336,Darkrai ex Muk,6,0.01%,13 - 17 - 0,43.33%,/decks/darkrai-ex-a2-muk-a1?game=POCKET&format=standard&set=A2
337,Weavile ex Honchkrow,6,0.01%,12 - 16 - 0,42.86%,/decks/weavile-ex-honchkrow-a2?game=POCKET&format=standard&set=A2
338,Probopass Dialga ex,6,0.01%,11 - 14 - 1,42.31%,/decks/probopass-dialga-ex-a2?game=POCKET&format=standard&set=A2
339,Mismagius ex Yanmega ex,6,0.01%,10 - 14 - 0,41.67%,/decks/mismagius-ex-yanmega-ex-a2?game=POCKET&format=standard&set=A2
340,Victreebel,6,0.01%,10 - 14 - 0,41.67%,/decks/victreebel-a1?game=POCKET&format=standard&set=A2
341,Yanmega ex Hitmonlee,6,0.01%,14 - 20 - 0,41.18%,/decks/yanmega-ex-a2-hitmonlee-a1?game=POCKET&format=standard&set=A2
342,Greninja Weezing,6,0.01%,10 - 15 - 0,40.00%,/decks/greninja-weezing-a1?game=POCKET&format=standard&set=A2
343,Rampardos Onix,6,0.01%,10 - 15 - 0,40.00%,/decks/rampardos-a2-onix-a1?game=POCKET&format=standard&set=A2
344,Greninja Flareon,6,0.01%,9 - 14 - 0,39.13%,/decks/greninja-flareon-a1?game=POCKET&format=standard&set=A2
345,Rhyperior,6,0.01%,10 - 18 - 0,35.71%,/decks/rhyperior-a2?game=POCKET&format=standard&set=A2
346,Marowak ex Kabutops,6,0.01%,11 - 19 - 1,35.48%,/decks/marowak-ex-kabutops-a1?game=POCKET&format=standard&set=A2
347,Weavile ex Arbok,6,0.01%,9 - 17 - 0,34.62%,/decks/weavile-ex-a2-arbok-a1?game=POCKET&format=standard&set=A2
348,Mew ex Alakazam,6,0.01%,10 - 19 - 0,34.48%,/decks/mew-ex-a1a-alakazam-a1?game=POCKET&format=standard&set=A2
349,Magnezone Weavile ex,6,0.01%,10 - 18 - 1,34.48%,/decks/magnezone-weavile-ex-a2?game=POCKET&format=standard&set=A2
350,Wigglytuff ex Greninja,6,0.01%,7 - 14 - 1,31.82%,/decks/wigglytuff-ex-greninja-a1?game=POCKET&format=standard&set=A2
351,Gallade ex Rampardos,6,0.01%,6 - 13 - 0,31.58%,/decks/gallade-ex-rampardos-a2?game=POCKET&format=standard&set=A2
352,Garchomp Rampardos,6,0.01%,8 - 18 - 0,30.77%,/decks/garchomp-rampardos-a2?game=POCKET&format=standard&set=A2
353,Gallade ex Druddigon,6,0.01%,6 - 15 - 0,28.57%,/decks/gallade-ex-a2-druddigon-a1a?game=POCKET&format=standard&set=A2
354,Palkia ex Manaphy,6,0.01%,5 - 13 - 0,27.78%,/decks/palkia-ex-manaphy-a2?game=POCKET&format=standard&set=A2
355,Yanmega ex Farfetch'd,6,0.01%,4 - 15 - 0,21.05%,/decks/yanmega-ex-a2-farfetchd-a1?game=POCKET&format=standard&set=A2
356,Muk Darkrai ex,6,0.01%,3 - 14 - 0,17.65%,/decks/muk-a1-darkrai-ex-a2?game=POCKET&format=standard&set=A2
357,Pidgeot ex Wigglytuff ex,5,0.01%,20 - 13 - 0,60.61%,/decks/pidgeot-ex-a1a-wigglytuff-ex-a1?game=POCKET&format=standard&set=A2
358,Greninja Lapras ex,5,0.01%,18 - 13 - 0,58.06%,/decks/greninja-a1-lapras-ex-p-a?game=POCKET&format=standard&set=A2
359,Magnezone Articuno ex,5,0.01%,18 - 13 - 0,58.06%,/decks/magnezone-a2-articuno-ex-a1?game=POCKET&format=standard&set=A2
360,Greninja Kangaskhan,5,0.01%,13 - 9 - 1,56.52%,/decks/greninja-kangaskhan-a1?game=POCKET&format=standard&set=A2
361,Electivire Zebstrika,5,0.01%,15 - 13 - 0,53.57%,/decks/electivire-a2-zebstrika-a1?game=POCKET&format=standard&set=A2
362,Palkia ex Articuno,5,0.01%,16 - 14 - 0,53.33%,/decks/palkia-ex-a2-articuno-a1?game=POCKET&format=standard&set=A2
363,Skarmory Bastiodon,5,0.01%,11 - 10 - 0,52.38%,/decks/skarmory-bastiodon-a2?game=POCKET&format=standard&set=A2
364,Gallade ex Chatot,5,0.01%,13 - 12 - 0,52.00%,/decks/gallade-ex-a2-chatot-a1a?game=POCKET&format=standard&set=A2
365,Infernape ex Greninja,5,0.01%,9 - 9 - 0,50.00%,/decks/infernape-ex-a2-greninja-a1?game=POCKET&format=standard&set=A2
366,Exeggutor ex Aerodactyl ex,5,0.01%,10 - 11 - 0,47.62%,/decks/exeggutor-ex-a1-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A2
367,Palkia ex Gastrodon,5,0.01%,10 - 10 - 1,47.62%,/decks/palkia-ex-gastrodon-a2?game=POCKET&format=standard&set=A2
368,Machamp ex Dugtrio,5,0.01%,16 - 18 - 0,47.06%,/decks/machamp-ex-dugtrio-a1?game=POCKET&format=standard&set=A2
369,Starmie ex,5,0.01%,10 - 8 - 4,45.45%,/decks/starmie-ex-a1?game=POCKET&format=standard&set=A2
370,Togekiss Dusknoir,5,0.01%,10 - 12 - 0,45.45%,/decks/togekiss-dusknoir-a2?game=POCKET&format=standard&set=A2
371,Darkrai ex Shaymin,5,0.01%,9 - 11 - 0,45.00%,/decks/darkrai-ex-shaymin-a2?game=POCKET&format=standard&set=A2
372,Machamp ex Primeape,5,0.01%,9 - 11 - 0,45.00%,/decks/machamp-ex-primeape-a1?game=POCKET&format=standard&set=A2
373,Garchomp Purugly,5,0.01%,9 - 11 - 0,45.00%,/decks/garchomp-purugly-a2?game=POCKET&format=standard&set=A2
